url;titre;vues;chaine;duree
https://www.youtube.com/watch?v=dQw4w9WgXcQ;Never_Gonna_Give_You_Up;1247360346;Rick Astley;212
https://www.youtube.com/watch?v=OKkVYCYxOmI;un_ingnieur_a_dtect_ce_cancer_totalement_par_hasard_;62783;Underscore_;626
https://www.youtube.com/watch?v=3_z4DDc-2uQ;pink_lily_-_pop_it_mania_pop_it_song_clip_officiel;14364114;PINK LILY VID�O;182
https://www.youtube.com/watch?v=Nfj4dh3ztjc;peut-on_encore_tlcharger_des_virus_en_2022__;5344;L�o - TechMaker;934
https://www.youtube.com/watch?v=uodmX5NBNBM;ragnar_le_breton_le_vrai_batman_;511714;boost;219
https://www.youtube.com/watch?v=rXis_cUipvQ;comment_enlever_une_capsule_dune_bouteille;26562;L�o - TechShorts;6
https://www.youtube.com/watch?v=pD_imYhNoQ4;wombo_combo;19924357;Lumpycpu;49
https://www.youtube.com/watch?v=rnpJfk1EPdw;genesis_8_-_battle_royale__episode_2_-_super_smash_bros;8854;Bronol;2774
https://www.youtube.com/watch?v=NIlHPOK2p70;pokmon_rejuvenation-_xen_executive_battle_theme;90665;GlitchxCity;192
https://www.youtube.com/watch?v=hgrUj1qMNHk;la_science_des_embouteillages_;503855;Science Trash;732
